Package	Version	File	URL	SHA256
askpass	1.2.1	askpass_1.2.1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/askpass_1.2.1.tar.gz	sha256:6c2106a74c44a748f2cea795d9686e27a0058a90debcfd8558b62b06aec0c7dd
base64enc	0.1-6	base64enc_0.1-6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/base64enc_0.1-6.tar.gz	sha256:3c7e9d22f7409fa2989008fa6e980c3dd8e2693eb20676acf2470ae7addb0816
boot	1.3-31	boot_1.3-31.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/boot_1.3-31.tar.gz	sha256:83e56aeac763dc9c4d1ebf99f783b01d03e653a15a0386e44c35a20f59f61ab8
bslib	0.11.0	bslib_0.11.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/bslib_0.11.0.tar.gz	sha256:e4df478559cb824c39bd55eb7e5f2aa48d39742d88e5015b494602901c2330bb
cachem	1.1.0	cachem_1.1.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/cachem_1.1.0.tar.gz	sha256:550839fc2ae5d865db475ba2c1714144f07fa0c052c72135b0e4a70287492e21
class	7.3-22	class_7.3-22.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/class_7.3-22.tar.gz	sha256:3a6b85216b5c2d75c39af182c192bdaee9a6f0d807d98c1f7f29929007a3da67
cli	3.6.6	cli_3.6.6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/cli_3.6.6.tar.gz	sha256:b2b58d6dd82f5798b335e39c00591686a01fd3e94399ef898e146173e36f18f9
cluster	2.1.6	cluster_2.1.6.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/cluster_2.1.6.tar.gz	sha256:0b270d1f49d06bde691f5943f24f22a83a8bb0091b93df270465a08e070bbb4d
codetools	0.2-20	codetools_0.2-20.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/codetools_0.2-20.tar.gz	sha256:345d039d3a026d32a679f6eae894ffd7796d3351f8dbcdba4b8e55096ad1bee4
colorspace	2.1-1	colorspace_2.1-1.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/colorspace_2.1-1.tar.gz	sha256:e721cee5f4d6e4b0fc8eb18265e316b4f856fd3be02f0775a26032663758cd0b
colourpicker	1.3.0	colourpicker_1.3.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/colourpicker_1.3.0.tar.gz	sha256:c7f2618cd1ae1f7ac15aee072c648e6494dfff6714e13dc7cd1da993d1102510
commonmark	2.0.0	commonmark_2.0.0.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/commonmark_2.0.0.tar.gz	sha256:7f47d7f9f4ff5d1e2a73a69f6e233d2ddbafae97944ddf664a6000aa94936904
cowplot	1.1.3	cowplot_1.1.3.tar.gz	https://packagemanager.posit.co/cran/2024-11-01/src/contrib/cowplot_1.1.3.tar.gz	sha256:8756971af5c50381cf00ec7ed622fd5cf3d70f534bdfa3ebadd157b5aef5b273
